issue_date,ts,horizon_hour,lead_day,turbine,power_norm_pred,power_gbm_pred,power_curve_pred
2026-02-26,2026-02-27 00:00:00,1,1,1,0.7433756032712204,0.5198409793190636,0.7992592592592596
2026-02-26,2026-02-27 01:00:00,2,1,1,0.5832638175173829,0.38965242092024777,0.6316666666666666
2026-02-26,2026-02-27 02:00:00,3,1,1,0.6151625120345533,0.4447014490616558,0.6577777777777777
2026-02-26,2026-02-27 03:00:00,4,1,1,0.5706997822904775,0.3668322447857208,0.6216666666666666
2026-02-26,2026-02-27 04:00:00,5,1,1,0.45677000080895314,0.333850004044766,0.48749999999999993
2026-02-26,2026-02-27 05:00:00,6,1,1,0.23247892270801343,0.1775797987252524,0.24620370370370367
2026-02-26,2026-02-27 06:00:00,7,1,1,0.2278266251384768,0.17950349606275415,0.2399074074074074
2026-02-26,2026-02-27 07:00:00,8,1,1,0.22691649294343966,0.17495283508756856,0.2399074074074074
2026-02-26,2026-02-27 08:00:00,9,1,1,0.20942443249172196,0.2245295698660175,0.20564814814814805
2026-02-26,2026-02-27 09:00:00,10,1,1,0.13233871068862138,0.10687873862829211,0.1387037037037037
2026-02-26,2026-02-27 10:00:00,11,1,1,0.13982920627429007,0.12284973507515387,0.14407407407407413
2026-02-26,2026-02-27 11:00:00,12,1,1,0.14525416252763557,0.11775229411965951,0.15212962962962956
2026-02-26,2026-02-27 12:00:00,13,1,1,0.1210642085657083,0.1236543761618748,0.12041666666666667
2026-02-26,2026-02-27 13:00:00,14,1,1,0.1905071997462227,0.30105451724963206,0.16287037037037036
2026-02-26,2026-02-27 14:00:00,15,1,1,0.3135962376050447,0.41094415098818665,0.28925925925925916
2026-02-26,2026-02-27 15:00:00,16,1,1,0.3993982554363683,0.48254683273739746,0.378611111111111
2026-02-26,2026-02-27 16:00:00,17,1,1,0.43777526627441143,0.4438763313720573,0.43624999999999997
2026-02-26,2026-02-27 17:00:00,18,1,1,0.3030963000970162,0.3115926115961922,0.3009722222222222
2026-02-26,2026-02-27 18:00:00,19,1,1,0.4088421983021654,0.2992109915108269,0.43624999999999997
2026-02-26,2026-02-27 19:00:00,20,1,1,0.3420589628531167,0.29140592537669485,0.35472222222222216
2026-02-26,2026-02-27 20:00:00,21,1,1,0.5030295991047699,0.3784813288571827,0.5341666666666667
2026-02-26,2026-02-27 21:00:00,22,1,1,0.537943227337913,0.5997161366895648,0.5225
