issue_date,ts,horizon_hour,lead_day,turbine,power_norm_pred,power_gbm_pred,power_curve_pred
2026-02-13,2026-02-14 00:00:00,1,1,1,0.5383166989190661,0.5315834945953302,0.54
2026-02-13,2026-02-14 01:00:00,2,1,1,0.5853322089483787,0.5999943780752266,0.5816666666666667
2026-02-13,2026-02-14 02:00:00,3,1,1,0.5646695128883779,0.6166808977752221,0.5516666666666667
2026-02-13,2026-02-14 03:00:00,4,1,1,0.5890451647508381,0.6685591570875241,0.5691666666666666
2026-02-13,2026-02-14 04:00:00,5,1,1,0.5256832250229215,0.6084161251146071,0.5050000000000001
2026-02-13,2026-02-14 05:00:00,6,1,1,0.42220285017992726,0.36601425089963635,0.43624999999999997
2026-02-13,2026-02-14 06:00:00,7,1,1,0.2609413923578328,0.20507733215953447,0.2749074074074074
2026-02-13,2026-02-14 07:00:00,8,1,1,0.09486350336395667,0.1126508501531166,0.09041666666666667
2026-02-13,2026-02-14 08:00:00,9,1,1,0.09450122917627973,0.10324688662213938,0.09231481481481482
2026-02-13,2026-02-14 09:00:00,10,1,1,0.047772274982166296,0.05886137491083151,0.045
2026-02-13,2026-02-14 10:00:00,11,1,1,0.024753201758517446,0.04672897175555017,0.01925925925925926
2026-02-13,2026-02-14 11:00:00,12,1,1,0.029478080516394185,0.06146447665604499,0.02148148148148148
2026-02-13,2026-02-14 12:00:00,13,1,1,0.026142774825003916,0.05886202227316773,0.017962962962962962
2026-02-13,2026-02-14 13:00:00,14,1,1,0.025265544882030318,0.05595735403978121,0.017592592592592594
2026-02-13,2026-02-14 14:00:00,15,1,1,0.06423268207156496,0.09005229924671368,0.057777777777777775
2026-02-13,2026-02-14 15:00:00,16,1,1,0.024584268594456574,0.06588430593524583,0.01425925925925926
2026-02-13,2026-02-14 16:00:00,17,1,1,0.02480114132113671,0.06474644734642429,0.014814814814814814
2026-02-13,2026-02-14 17:00:00,18,1,1,0.026813328984855528,0.08517775603538875,0.012222222222222223
2026-02-13,2026-02-14 18:00:00,19,1,1,0.02780979858294702,0.09238232624806841,0.011666666666666667
2026-02-13,2026-02-14 19:00:00,20,1,1,0.028027505170541353,0.06310048881566972,0.01925925925925926
2026-02-13,2026-02-14 20:00:00,21,1,1,0.043716298493697764,0.0785814924684888,0.035
2026-02-13,2026-02-14 21:00:00,22,1,1,0.05197076971215979,0.07652051522746559,0.045833333333333344
2026-02-13,2026-02-14 22:00:00,23,1,1,0.0594891743958689,0.10411253864601111,0.04833333333333334
2026-02-13,2026-02-14 23:00:00,24,1,1,0.03268723894331574,0.11676952804991203,0.011666666666666667
2026-02-13,2026-02-15 00:00:00,25,2,1,0.042813936202041616,0.12888449582502287,0.021296296296296296
2026-02-13,2026-02-15 01:00:00,26,2,1,0.02167710830810966,0.05727443042943718,0.012777777777777777
2026-02-13,2026-02-15 02:00:00,27,2,1,0.027953990640578887,0.056066249499190715,0.020925925925925928
2026-02-13,2026-02-15 03:00:00,28,2,1,0.02395412550356594,0.05532618307338524,0.01611111111111111
2026-02-13,2026-02-15 04:00:00,29,2,1,0.04874913249931244,0.047078995829895526,0.049166666666666664
2026-02-13,2026-02-15 05:00:00,30,2,1,0.09711948334928601,0.1011529723019855,0.09611111111111113
2026-02-13,2026-02-15 06:00:00,31,2,1,0.1739879220981343,0.14327294382400477,0.18166666666666667
2026-02-13,2026-02-15 07:00:00,32,2,1,0.2676638578874753,0.20424521536330265,0.28351851851851845
2026-02-13,2026-02-15 08:00:00,33,2,1,0.4081601681714865,0.38580084085743244,0.41374999999999995
2026-02-13,2026-02-15 09:00:00,34,2,1,0.463160951564365,0.48080475782182514,0.4587499999999999
2026-02-13,2026-02-15 10:00:00,35,2,1,0.6247893991434678,0.717280329050672,0.6016666666666667
2026-02-13,2026-02-15 11:00:00,36,2,1,0.7302559462978108,0.7268352870446092,0.7311111111111112
2026-02-13,2026-02-15 12:00:00,37,2,1,0.8669641163134155,0.8800057667522627,0.8637037037037038
2026-02-13,2026-02-15 13:00:00,38,2,1,0.8797398958402207,0.8875883680899922,0.8777777777777778
2026-02-13,2026-02-15 14:00:00,39,2,1,0.8691653523043614,0.8980489837440283,0.8619444444444446
2026-02-13,2026-02-15 15:00:00,40,2,1,0.7607809439203723,0.9016824973796401,0.7255555555555554
2026-02-13,2026-02-15 16:00:00,41,2,1,0.6952802369037063,0.8908456289629759,0.646388888888889
2026-02-13,2026-02-15 17:00:00,42,2,1,0.7380157833747153,0.952671509466169,0.6843518518518518
