issue_date,ts,horizon_hour,lead_day,turbine,wind_speed_100m,power_norm_pred,power_p10,power_p90,power_gbm_pred,power_two_stage_pred,power_curve_pred,wind_nacelle_pred
2026-02-25,2026-02-26 00:00:00,1,1,1,7.2778,0.5097,0.1317,0.8184,0.6159,0.491,0.5283,7.7825
2026-02-25,2026-02-26 01:00:00,2,1,1,7.6389,0.5267,0.1487,0.8354,0.5905,0.4616,0.5917,7.5999
2026-02-25,2026-02-26 02:00:00,3,1,1,7.6944,0.5187,0.1407,0.8274,0.5553,0.4391,0.5983,7.4556
2026-02-25,2026-02-26 03:00:00,4,1,1,6.6944,0.5301,0.1521,0.8388,0.6505,0.6314,0.4288,8.7045
2026-02-25,2026-02-26 04:00:00,5,1,1,5.7778,0.3973,0.1574,0.7374,0.5435,0.5226,0.272,8.0145
2026-02-25,2026-02-26 05:00:00,6,1,1,6.3056,0.4864,0.2466,0.8265,0.5557,0.6122,0.3607,8.5796
2026-02-25,2026-02-26 06:00:00,7,1,1,5.9722,0.3886,0.1487,0.7287,0.5134,0.4851,0.2921,7.7404
2026-02-25,2026-02-26 07:00:00,8,1,1,5.5278,0.3525,0.1126,0.6926,0.4643,0.4588,0.2462,7.5829
2026-02-25,2026-02-26 08:00:00,9,1,1,5.1111,0.3163,0.0764,0.6564,0.3809,0.4373,0.1954,7.442
2026-02-25,2026-02-26 09:00:00,10,1,1,3.9167,0.1332,0.0338,0.347,0.2263,0.1646,0.1018,5.3622
2026-02-25,2026-02-26 10:00:00,11,1,1,2.1944,0.0912,0.0,0.305,0.3295,0.1555,0.0269,5.2714
2026-02-25,2026-02-26 11:00:00,12,1,1,9.4444,0.8879,0.7808,1.0,0.7687,0.9307,0.8452,10.9125
2026-02-25,2026-02-26 12:00:00,13,1,1,7.3333,0.5529,0.1749,0.8616,0.6729,0.5658,0.54,8.2559
2026-02-25,2026-02-26 13:00:00,14,1,1,3.6389,0.1469,0.0475,0.3607,0.3382,0.2109,0.0828,5.8362
2026-02-25,2026-02-26 14:00:00,15,1,1,4.4722,0.1634,0.064,0.3772,0.2534,0.1949,0.1319,5.6909
2026-02-25,2026-02-26 15:00:00,16,1,1,5.3889,0.2397,0.0,0.5798,0.2964,0.2498,0.2296,6.151
2026-02-25,2026-02-26 16:00:00,17,1,1,6.0,0.2935,0.0536,0.6336,0.3405,0.292,0.295,6.4772
2026-02-25,2026-02-26 17:00:00,18,1,1,8.1389,0.6307,0.2527,0.9394,0.604,0.6073,0.654,8.5477
2026-02-25,2026-02-26 18:00:00,19,1,1,8.0556,0.5681,0.1901,0.8768,0.488,0.4935,0.6426,7.8013
2026-02-25,2026-02-26 19:00:00,20,1,1,7.2778,0.4603,0.2204,0.8004,0.4446,0.3923,0.5283,7.1424
2026-02-25,2026-02-26 20:00:00,21,1,1,7.75,0.5492,0.1712,0.8579,0.4782,0.4934,0.605,7.8007
2026-02-25,2026-02-26 21:00:00,22,1,1,8.4444,0.6464,0.2684,0.9551,0.5593,0.597,0.6957,8.4786
2026-02-25,2026-02-26 22:00:00,23,1,1,8.8611,0.6706,0.2926,0.9793,0.5682,0.6017,0.7394,8.5111
2026-02-25,2026-02-26 23:00:00,24,1,1,8.5278,0.6236,0.2456,0.9323,0.5785,0.541,0.7061,8.1166
2026-02-25,2026-02-27 00:00:00,25,2,1,9.3333,0.7036,0.2089,1.0,0.5812,0.5849,0.8222,8.3923
2026-02-25,2026-02-27 01:00:00,26,2,1,9.3611,0.7534,0.2587,1.0,0.6893,0.6788,0.828,9.0665
2026-02-25,2026-02-27 02:00:00,27,2,1,7.75,0.5889,0.0942,0.9115,0.6778,0.5727,0.605,8.3051
2026-02-25,2026-02-27 03:00:00,28,2,1,7.2778,0.5338,0.0391,0.8564,0.6002,0.5392,0.5283,8.1069
2026-02-25,2026-02-27 04:00:00,29,2,1,7.0556,0.4893,0.1974,0.92,0.5796,0.4969,0.4817,7.8268
2026-02-25,2026-02-27 05:00:00,30,2,1,7.6944,0.4307,0.1387,0.8614,0.2738,0.263,0.5983,6.2598
2026-02-25,2026-02-27 06:00:00,31,2,1,6.8889,0.3333,0.0414,0.764,0.1687,0.2116,0.455,5.8417
2026-02-25,2026-02-27 07:00:00,32,2,1,6.9722,0.3368,0.0449,0.7676,0.1562,0.2074,0.4662,5.8086
2026-02-25,2026-02-27 08:00:00,33,2,1,6.6667,0.294,0.0021,0.7247,0.1733,0.163,0.425,5.3471
2026-02-25,2026-02-27 09:00:00,34,2,1,5.6389,0.1963,0.0839,0.4036,0.1802,0.135,0.2577,5.0001
