issue_date,ts,horizon_hour,lead_day,turbine,wind_speed_100m,power_norm_pred,power_p10,power_p90,power_gbm_pred,power_two_stage_pred,power_curve_pred,wind_nacelle_pred
2026-02-12,2026-02-13 00:00:00,1,1,1,2.1667,0.0224,0.0,0.2362,0.1126,0.0186,0.0261,2.5964
2026-02-12,2026-02-13 01:00:00,2,1,1,2.5,0.0307,0.0,0.2445,0.1294,0.0263,0.035,2.9254
2026-02-12,2026-02-13 02:00:00,3,1,1,0.7222,0.0116,0.0,0.2254,0.0628,0.01,0.0131,1.9043
2026-02-12,2026-02-13 03:00:00,4,1,1,1.0833,0.0212,0.0,0.235,0.0878,0.0268,0.0156,2.9412
2026-02-12,2026-02-13 04:00:00,5,1,1,1.3056,0.0193,0.0,0.2331,0.0842,0.0216,0.017,2.7461
2026-02-12,2026-02-13 05:00:00,6,1,1,1.4722,0.0257,0.0,0.2395,0.1054,0.0332,0.0181,3.1039
2026-02-12,2026-02-13 06:00:00,7,1,1,2.5278,0.0313,0.0,0.2451,0.0701,0.0268,0.0358,2.9433
2026-02-12,2026-02-13 07:00:00,8,1,1,1.2778,0.0203,0.0,0.2341,0.0445,0.0237,0.0169,2.8278
2026-02-12,2026-02-13 08:00:00,9,1,1,0.8333,0.021,0.0,0.2348,0.0285,0.0281,0.0139,2.9919
2026-02-12,2026-02-13 09:00:00,10,1,1,1.1944,0.0191,0.0,0.2329,0.0411,0.0218,0.0163,2.7557
2026-02-12,2026-02-13 10:00:00,11,1,1,1.75,0.0205,0.0,0.2343,0.0161,0.021,0.02,2.7175
2026-02-12,2026-02-13 11:00:00,12,1,1,1.5,0.0249,0.0,0.2387,0.0499,0.0315,0.0183,3.0681
2026-02-12,2026-02-13 12:00:00,13,1,1,1.8889,0.0328,0.0,0.2466,0.0801,0.0447,0.0209,3.3898
2026-02-12,2026-02-13 13:00:00,14,1,1,3.4167,0.0635,0.0,0.2773,0.165,0.0575,0.0694,3.8125
