issue_date,recalculated,conclusion,calm_hours,rated_hours,storm_hours,turbine_spread_max,needs_recalculation
2026-01-31,False,"Прогноз на 48 ч от 2026-01-31: средняя нормализованная мощность T1 0.26, T2 0.24. Часов штиля 8, часов на номинале 0, штормовых 0.",8,0,0,0.149,False
2026-02-01,False,"Прогноз на 48 ч от 2026-02-01: средняя нормализованная мощность T1 0.31, T2 0.29. Часов штиля 4, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.083 в среднем.",4,0,0,0.113,False
2026-02-02,False,"Прогноз на 48 ч от 2026-02-02: средняя нормализованная мощность T1 0.23, T2 0.24. Часов штиля 6, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.068 в среднем.",6,0,0,0.089,False
2026-02-03,False,"Прогноз на 48 ч от 2026-02-03: средняя нормализованная мощность T1 0.54, T2 0.54. Часов штиля 2, часов на номинале 4, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.085 в среднем.",2,4,0,0.128,False
2026-02-04,False,"Прогноз на 48 ч от 2026-02-04: средняя нормализованная мощность T1 0.73, T2 0.72. Часов штиля 0, часов на номинале 19, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.047 в среднем.",0,19,0,0.19,False
2026-02-05,False,"Прогноз на 48 ч от 2026-02-05: средняя нормализованная мощность T1 0.43, T2 0.44. Часов штиля 8, часов на номинале 8, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.13 в среднем.",8,8,0,0.125,False
2026-02-06,True,"Прогноз на 48 ч от 2026-02-06: средняя нормализованная мощность T1 0.44, T2 0.44. Часов штиля 9, часов на номинале 5, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.16 в среднем. Выполнен повторный расчёт.",9,5,0,0.079,True
2026-02-07,False,"Прогноз на 48 ч от 2026-02-07: средняя нормализованная мощность T1 0.7, T2 0.67. Часов штиля 7, часов на номинале 10, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.046 в среднем.",7,10,0,0.096,False
2026-02-08,False,"Прогноз на 48 ч от 2026-02-08: средняя нормализованная мощность T1 0.54, T2 0.5. Часов штиля 4, часов на номинале 6, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.062 в среднем.",4,6,0,0.212,False
2026-02-09,False,"Прогноз на 48 ч от 2026-02-09: средняя нормализованная мощность T1 0.4, T2 0.4. Часов штиля 9, часов на номинале 5, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.104 в среднем.",9,5,0,0.109,False
2026-02-10,False,"Прогноз на 48 ч от 2026-02-10: средняя нормализованная мощность T1 0.35, T2 0.34. Часов штиля 15, часов на номинале 3, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.07 в среднем.",15,3,0,0.107,False
2026-02-11,False,"Прогноз на 48 ч от 2026-02-11: средняя нормализованная мощность T1 0.11, T2 0.11. Часов штиля 30, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.053 в среднем.",30,0,0,0.077,False
2026-02-12,False,"Прогноз на 48 ч от 2026-02-12: средняя нормализованная мощность T1 0.14, T2 0.13. Часов штиля 25, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.054 в среднем.",25,0,0,0.116,False
2026-02-13,False,"Прогноз на 48 ч от 2026-02-13: средняя нормализованная мощность T1 0.35, T2 0.33. Часов штиля 19, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.087 в среднем.",19,0,0,0.114,False
2026-02-14,False,"Прогноз на 48 ч от 2026-02-14: средняя нормализованная мощность T1 0.46, T2 0.43. Часов штиля 4, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.044 в среднем.",4,0,0,0.14,False
2026-02-15,True,"Прогноз на 48 ч от 2026-02-15: средняя нормализованная мощность T1 0.39, T2 0.36. Часов штиля 0, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.164 в среднем. Выполнен повторный расчёт.",0,0,0,0.149,True
2026-02-16,False,"Прогноз на 48 ч от 2026-02-16: средняя нормализованная мощность T1 0.51, T2 0.48. Часов штиля 2, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.079 в среднем.",2,0,0,0.167,False
2026-02-17,False,"Прогноз на 48 ч от 2026-02-17: средняя нормализованная мощность T1 0.49, T2 0.44. Часов штиля 3, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.07 в среднем.",3,0,0,0.149,False
2026-02-18,False,"Прогноз на 48 ч от 2026-02-18: средняя нормализованная мощность T1 0.27, T2 0.27. Часов штиля 7, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.081 в среднем.",7,0,0,0.105,False
2026-02-19,False,"Прогноз на 48 ч от 2026-02-19: средняя нормализованная мощность T1 0.35, T2 0.38. Часов штиля 4, часов на номинале 3, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.127 в среднем.",4,3,0,0.141,False
2026-02-20,False,"Прогноз на 48 ч от 2026-02-20: средняя нормализованная мощность T1 0.41, T2 0.39. Часов штиля 7, часов на номинале 3, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.13 в среднем.",7,3,0,0.182,False
2026-02-21,True,"Прогноз на 48 ч от 2026-02-21: средняя нормализованная мощность T1 0.36, T2 0.36. Часов штиля 12, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.189 в среднем. Выполнен повторный расчёт.",12,0,0,0.156,True
2026-02-22,False,"Прогноз на 48 ч от 2026-02-22: средняя нормализованная мощность T1 0.37, T2 0.37. Часов штиля 12, часов на номинале 0, штормовых 0. Относительно прогноза предыдущего дня входные данные изменились на 0.069 в среднем.",12,0,0,0.072,False
